DATE	NEGCODE	NAME	SECTOR	WEIGHT	EXPECTEDRETURN	FORWARDReturn
2017-12-28	ABEV3	Ambev S.A.	Consumer Goods	0.070389	0.0008377994657595383	0.027725563909774428
2017-12-28	BBSE3	BB Seguridade Participações S.A.	Financial	0.015991	-6.874577019123407e-05	0.09547209547209556
2017-12-28	BVMF3	B3 S.A. - Brasil, Bolsa, Balcão	Financial	0.038677	0.0014522672600348688	0.15013169446883223
2017-12-28	BRML3	BR Malls Participações S.A.	Financial	0.009792	0.000895584399892927	0.021209740769835003
2017-12-28	BBDC3	Banco Bradesco S.A.	Financial	0.015069999999999998	0.0013274050569598496	0.2164691203992513
2017-12-28	BBDC4	Banco Bradesco S.A.	Financial	0.084595	0.0015755909551645679	0.19350073855243713
2017-12-28	BRAP4	Bradespar S.A.	Financial	0.005115	0.003071874513906511	0.0821727019498607
2017-12-28	BBAS3	Banco do Brasil S.A.	Financial	0.032339	0.0012455104870276485	0.21935889377749831
2017-12-28	BRKM5	Braskem S.A.	Basic Materials	0.008661	0.0020039602824496344	0.17774667599720095
2017-12-28	BRFS3	BRF S.A.	Consumer Goods	0.029184	-0.001095306216982443	-0.0027322404371585085
2017-12-28	CCRO3	CCR S.A.	Industrial Goods	0.016733	5.6094489766700484e-05	-0.0266253869969039
2017-12-28	CMIG4	Companhia Energética de Minas Gerais	Utilities	0.005992	-0.00022478141780270114	0.09752547307132459
2017-12-28	CIEL3	Cielo S.A.	Technology	0.021523	0.00029325438939961103	0.1215986394557823
2017-12-28	CPLE6	Companhia Paranaense de Energia - COPEL	Utilities	0.002493	-0.0003628163181782781	-0.019639278557114167
2017-12-28	CSAN3	Cosan S.A. Indústria e Comércio	Basic Materials	0.0050929999999999994	0.0011404006960439922	0.06939759036144584
2017-12-28	CPFE3	CPFL Energia S.A.	Utilities	0.010744	-0.0018044260980850805	0.10232558139534867
2017-12-28	CYRE3	Cyrela Brazil Realty S.A. Empreendimentos e Participações	Industrial Goods	0.002762	0.0015465198266247603	0.12632375189107412
2017-12-28	ECOR3	EcoRodovias Infraestrutura e Logística S.A.	Industrial Goods	0.0017100000000000001	0.002002957650213977	-0.06097560975609756
2017-12-28	ELET3	Centrais Elétricas Brasileiras S.A. - Eletrobras	Utilities	0.004082	0.003730796934904137	0.03412616339193383
2017-12-28	ELET6	Centrais Elétricas Brasileiras S.A. - Eletrobras	Utilities	0.003985	0.002938695968283324	0.026431718061674072
2017-12-28	EMBR3	Embraer S.A.	Industrial Goods	0.011297999999999999	0.0017857435478789748	0.0125
2017-12-28	ENBR3	EDP - Energias do Brasil S.A.	Utilities	0.003865	0.0006784732396244975	-0.002142857142857097
2017-12-28	EGIE3	Engie Brasil Energia S.A.	Utilities	0.006321	0.0005194909747943368	0.02647141650239383
2017-12-28	EQTL3	Equatorial Energia S.A.	Utilities	0.010399	0.0016054645258033959	0.051028179741050936
2017-12-28	ESTC3	Estácio Participações S.A.	Services	0.006836	0.004682755313903683	0.027117611212675214
2017-12-28	FIBR3	Fibria Celulose S.A.	Consumer Goods	0.008239	0.0023252191771479737	0.18014629049111802
2017-12-28	GGBR4	Gerdau S.A.	Basic Materials	0.010128999999999999	0.001737301566118523	0.18901453957996767
2017-12-28	GOAU4	Metalurgica Gerdau S.A.	Basic Materials	0.0027800000000000004	0.001965135049882675	0.17962003454231434
2017-12-28	HYPE3	Hypera S.A.	Healthcare	0.010065	0.0013268673466612887	-0.005555555555555635
2017-12-28	ITSA4	Itaúsa - Investimentos Itaú S.A.	Financial	0.033778	0.0013003181310394642	0.2181146025878003
2017-12-28	ITUB4	Itaú Unibanco Holding S.A.	Financial	0.108072	0.0013032470224942228	0.20925317050258346
2017-12-28	JBSS3	JBS S.A.	Consumer Goods	0.011401	0.003267373092508737	0.03567787971457692
2017-12-28	KLBN11	Klabin S.A.	Basic Materials	0.007554	0.00038959983385511416	0.027272727272727094
2017-12-28	KROT3	Kroton Educacional S.A.	Services	0.022525	0.0016741721040257785	-0.12499999999999986
2017-12-28	RENT3	Localiza Rent a Car S.A.	Services	0.00842	-0.0013454178364849597	0.1242067089755214
2017-12-28	LAME4	Lojas Americanas S.A.	Services	0.010216000000000001	0.0012663992521093307	-0.009384164222873909
2017-12-28	LREN3	Lojas Renner S.A.	Services	0.018491999999999998	0.002058286572600501	0.056635672020287346
2017-12-28	MRFG3	Marfrig Global Foods S.A.	Consumer Goods	0.002465	0.0009460784070130446	-0.06420765027322413
2017-12-28	MRVE3	MRV Engenharia e Participações S.A.	Industrial Goods	0.003281	0.0009756033521169834	0.013962765957446867
2017-12-28	MULT3	Multiplan Empreendimentos Imobiliários S.A.	Financial	0.00561	0.0008398315804286719	0.024118476727785523
2017-12-28	NATU3	Natura Cosméticos S.A.	Consumer Goods	0.0043630000000000006	0.0005443743091671868	0.07380520266182691
2017-12-28	PCAR4	Companhia Brasileira de Distribuição	Services	0.009603	0.0010514040390371309	-0.03142024578740661
2017-12-28	PETR3	Petróleo Brasileiro S.A. - Petrobras	Basic Materials	0.032506	0.001215944787916119	0.2525133057362507
2017-12-28	PETR4	Petróleo Brasileiro S.A. - Petrobras	Basic Materials	0.048365	0.0013519550361291905	0.21055900621117993
2017-12-28	QUAL3	Qualicorp S.A.	Healthcare	0.00718	0.0010259385425092711	0.012258064516129
2017-12-28	RADL3	Raia Drogasil S.A.	Healthcare	0.012583	0.002265298143460218	-0.07407407407407404
2017-12-28	RAIL3	Rumo S.A.	Services	0.007554	0.003488723910726081	0.04857363145720887
2017-12-28	SBSP3	Companhia de Saneamento Básico do Estado de São Paulo - SABESP	Utilities	0.009389	0.0014239733351293165	0.07457034663559575
2017-12-28	SANB11	BCO Santander(Brasil) S.A.	Financial	0.009205999999999999	0.0016104292025721583	0.11825595984943538
2017-12-28	CSNA3	Companhia Siderúrgica Nacional	Basic Materials	0.004488	0.0016484478414736485	0.29236276849641996
2017-12-28	TAEE11	Transmissora Aliança de Energia Elétrica S.A.	Utilities	0.0035670000000000003	-0.000301004442697833	-0.04639175257731951
2017-12-28	VIVT4	Telefônica Brasil S.A.	Technology	0.017415	0.0004792334453607677	0.09481694775812423
2017-12-28	TIMP3	TIM Participações S.A.	Technology	0.007832	0.0022216028545161077	0.0045801526717557635
2017-12-28	UGPA3	Ultrapar Participações S.A.	Basic Materials	0.025359	0.00010244562498476134	0.06600000000000004
2017-12-28	USIM5	Usinas Siderúrgicas de Minas Gerais S.A.	Basic Materials	0.003024	0.005985331100055338	0.27252747252747256
2017-12-28	VALE3	Vale S.A.	Basic Materials	0.090439	0.0025390115135812048	0.030054644808743192
2017-12-28	WEGE3	WEG S.A.	Industrial Goods	0.010008	0.0016969491954694556	-0.004562422231439213
2017-11-29	ABEV3	Ambev S.A.	Consumer Goods	0.070389	0.0009271169941151719	0.035019455252918406
2017-11-29	BBSE3	BB Seguridade Participações S.A.	Financial	0.015991	-0.0003616328397886596	0.061080074487895604
2017-11-29	BVMF3	B3 S.A. - Brasil, Bolsa, Balcão	Financial	0.038677	0.0015356034883529735	-0.03063829787234038
2017-11-29	BRML3	BR Malls Participações S.A.	Financial	0.009792	-0.0006088271220904721	0.04088307440719542
